jahr,hauptgruppe,untergruppe,nfr,thg,thg_agg,emission,quelle,einheit,einheit_lang
2006,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,553895.7968730652,Immo,t/a,Tonnen pro Jahr
2007,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,491323.2853924293,Immo,t/a,Tonnen pro Jahr
2008,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,516860.0526950722,Immo,t/a,Tonnen pro Jahr
2009,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,495265.1791331028,Immo,t/a,Tonnen pro Jahr
2010,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,533000.944126383,Immo,t/a,Tonnen pro Jahr
2011,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,424889.9881505469,Immo,t/a,Tonnen pro Jahr
2012,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,455379.5679450985,Immo,t/a,Tonnen pro Jahr
2013,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,489483.6335074579,Immo,t/a,Tonnen pro Jahr
2014,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,377969.0675476098,Immo,t/a,Tonnen pro Jahr
2015,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,402718.84154807933,Immo,t/a,Tonnen pro Jahr
2016,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,438360.0215836589,Immo,t/a,Tonnen pro Jahr
2017,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,407700.4743873388,Immo,t/a,Tonnen pro Jahr
2018,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,356320.313661128,Immo,t/a,Tonnen pro Jahr
2019,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,350779.7222274896,Immo,t/a,Tonnen pro Jahr
2020,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,305444.5213804985,Immo,t/a,Tonnen pro Jahr
2021,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,341959.2060907044,Immo,t/a,Tonnen pro Jahr
2022,Gebäude,Heizkessel Dienstleistungen Heizöl,1A4ai,CO2,CO2eq,267586.6022847358,Immo,t/a,Tonnen pro Jahr
1990,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1717094.296006365,Immo,t/a,Tonnen pro Jahr
1991,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1793373.5297732695,Immo,t/a,Tonnen pro Jahr
1992,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1783812.145248592,Immo,t/a,Tonnen pro Jahr
1993,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1668881.4801358993,Immo,t/a,Tonnen pro Jahr
1994,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1573781.9319650144,Immo,t/a,Tonnen pro Jahr
1995,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1675211.796422161,Immo,t/a,Tonnen pro Jahr
1996,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1701494.5961923096,Immo,t/a,Tonnen pro Jahr
1997,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1600301.0267054597,Immo,t/a,Tonnen pro Jahr
1998,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1653279.884600208,Immo,t/a,Tonnen pro Jahr
1999,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1594567.2069578434,Immo,t/a,Tonnen pro Jahr
2000,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1458788.4316158604,Immo,t/a,Tonnen pro Jahr
2001,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1538805.2306039727,Immo,t/a,Tonnen pro Jahr
2002,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1475421.5298074775,Immo,t/a,Tonnen pro Jahr
2003,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1556180.152858731,Immo,t/a,Tonnen pro Jahr
2004,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1540577.2144867084,Immo,t/a,Tonnen pro Jahr
2005,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1555740.3507957305,Immo,t/a,Tonnen pro Jahr
2006,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1491279.6625486678,Immo,t/a,Tonnen pro Jahr
2007,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1288613.653479032,Immo,t/a,Tonnen pro Jahr
2008,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1363706.99895484,Immo,t/a,Tonnen pro Jahr
2009,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1320816.7662768597,Immo,t/a,Tonnen pro Jahr
2010,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1401543.221510807,Immo,t/a,Tonnen pro Jahr
2011,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1091174.7824272448,Immo,t/a,Tonnen pro Jahr
2012,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1180417.6965571395,Immo,t/a,Tonnen pro Jahr
2013,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1246519.2965930724,Immo,t/a,Tonnen pro Jahr
2014,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,942495.5547690218,Immo,t/a,Tonnen pro Jahr
2015,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,996060.5408688313,Immo,t/a,Tonnen pro Jahr
2016,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,1016282.7367153007,Immo,t/a,Tonnen pro Jahr
2017,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,949311.7394745576,Immo,t/a,Tonnen pro Jahr
2018,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,847308.4815923293,Immo,t/a,Tonnen pro Jahr
2019,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,834079.5306747017,Immo,t/a,Tonnen pro Jahr
2020,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,741922.9509220922,Immo,t/a,Tonnen pro Jahr
2021,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,829822.963047598,Immo,t/a,Tonnen pro Jahr
2022,Gebäude,Heizkessel Haushalte Heizöl,1A4bi,CO2,CO2eq,657620.92897579,Immo,t/a,Tonnen pro Jahr
1990,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,234048.0604201907,Immo,t/a,Tonnen pro Jahr
1991,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,256837.38512522192,Immo,t/a,Tonnen pro Jahr
1992,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,272084.6301060465,Immo,t/a,Tonnen pro Jahr
1993,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,286578.9203469518,Immo,t/a,Tonnen pro Jahr
1994,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,285159.22905991477,Immo,t/a,Tonnen pro Jahr
1995,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,309521.10500797885,Immo,t/a,Tonnen pro Jahr
1996,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,335103.7822690686,Immo,t/a,Tonnen pro Jahr
1997,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,324828.228249543,Immo,t/a,Tonnen pro Jahr
1998,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,338866.80962714856,Immo,t/a,Tonnen pro Jahr
1999,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,318929.9638603824,Immo,t/a,Tonnen pro Jahr
2000,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,336730.92619990703,Immo,t/a,Tonnen pro Jahr
2001,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,356404.5339185883,Immo,t/a,Tonnen pro Jahr
2002,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,339958.1546313465,Immo,t/a,Tonnen pro Jahr
2003,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,359940.7760086433,Immo,t/a,Tonnen pro Jahr
2004,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,371740.660647261,Immo,t/a,Tonnen pro Jahr
2005,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,383550.56615666696,Immo,t/a,Tonnen pro Jahr
2006,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,344135.96764044923,Immo,t/a,Tonnen pro Jahr
2007,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,318227.12168076064,Immo,t/a,Tonnen pro Jahr
2008,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,337325.33242624,Immo,t/a,Tonnen pro Jahr
2009,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,329845.5905451754,Immo,t/a,Tonnen pro Jahr
2010,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,363749.83385916025,Immo,t/a,Tonnen pro Jahr
2011,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,314723.39402666176,Immo,t/a,Tonnen pro Jahr
2012,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,355500.64287569583,Immo,t/a,Tonnen pro Jahr
2013,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,378092.7846588819,Immo,t/a,Tonnen pro Jahr
2014,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,291027.5733956638,Immo,t/a,Tonnen pro Jahr
2015,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,331620.8884912959,Immo,t/a,Tonnen pro Jahr
2016,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,359322.5471725998,Immo,t/a,Tonnen pro Jahr
2017,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,343442.82090294495,Immo,t/a,Tonnen pro Jahr
2018,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,308811.1214424335,Immo,t/a,Tonnen pro Jahr
2019,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,313060.77313326136,Immo,t/a,Tonnen pro Jahr
2020,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,281073.40705103433,Immo,t/a,Tonnen pro Jahr
2021,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,324749.9461969423,Immo,t/a,Tonnen pro Jahr
2022,Gebäude,Heizkessel Dienstleistungen Gas,1A4ai,CO2,CO2eq,262738.63499284314,Immo,t/a,Tonnen pro Jahr
1990,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,311517.33196139237,Immo,t/a,Tonnen pro Jahr
1991,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,355891.9514880326,Immo,t/a,Tonnen pro Jahr
1992,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,371905.02549520205,Immo,t/a,Tonnen pro Jahr
1993,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,375618.82622519817,Immo,t/a,Tonnen pro Jahr
1994,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,355730.113495959,Immo,t/a,Tonnen pro Jahr
1995,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,407644.02431541006,Immo,t/a,Tonnen pro Jahr
1996,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,457184.75194642175,Immo,t/a,Tonnen pro Jahr
1997,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,415202.4334623954,Immo,t/a,Tonnen pro Jahr
1998,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,434027.0735662802,Immo,t/a,Tonnen pro Jahr
1999,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,458898.4076694564,Immo,t/a,Tonnen pro Jahr
2000,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,437522.37447661656,Immo,t/a,Tonnen pro Jahr
2001,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,457883.8658217119,Immo,t/a,Tonnen pro Jahr
2002,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,454589.74886369973,Immo,t/a,Tonnen pro Jahr
2003,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,485629.3971737539,Immo,t/a,Tonnen pro Jahr
2004,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,502190.9171971062,Immo,t/a,Tonnen pro Jahr
2005,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,516231.43948240014,Immo,t/a,Tonnen pro Jahr
2006,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,495965.042334997,Immo,t/a,Tonnen pro Jahr
2007,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,475004.5012146689,Immo,t/a,Tonnen pro Jahr
2008,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,514187.0346173066,Immo,t/a,Tonnen pro Jahr
2009,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,515161.3694513218,Immo,t/a,Tonnen pro Jahr
2010,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,585034.7375222704,Immo,t/a,Tonnen pro Jahr
2011,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,497133.81525473425,Immo,t/a,Tonnen pro Jahr
2012,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,570644.7395490757,Immo,t/a,Tonnen pro Jahr
2013,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,617278.2226915787,Immo,t/a,Tonnen pro Jahr
2014,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,514041.04920090776,Immo,t/a,Tonnen pro Jahr
2015,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,558290.2558325934,Immo,t/a,Tonnen pro Jahr
2016,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,639782.8949413032,Immo,t/a,Tonnen pro Jahr
2017,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,614162.0975062995,Immo,t/a,Tonnen pro Jahr
2018,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,564376.4974843208,Immo,t/a,Tonnen pro Jahr
2019,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,572272.6193088475,Immo,t/a,Tonnen pro Jahr
2020,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,525024.2184816945,Immo,t/a,Tonnen pro Jahr
2021,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,604632.1175946645,Immo,t/a,Tonnen pro Jahr
2022,Gebäude,Heizkessel Haushalte Gas,1A4bi,CO2,CO2eq,495314.7877328396,Immo,t/a,Tonnen pro Jahr
1990,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,282107.02769361663,BottomUp,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,267893.18407029624,BottomUp,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,266656.7184724899,BottomUp,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,270454.7589910347,BottomUp,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,267150.54910086724,BottomUp,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,270607.078138059,BottomUp,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,274450.20271954633,BottomUp,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,287032.2074762185,BottomUp,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,304733.0443154048,BottomUp,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,321278.55315443757,BottomUp,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,348330.59497612395,BottomUp,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,366389.1827516693,BottomUp,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,374015.0154731685,BottomUp,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,368663.5133384493,BottomUp,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,381733.63097693305,BottomUp,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,396364.828985011,BottomUp,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,432843.28210245736,BottomUp,t/a,Tonnen pro Jahr
2007,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,417039.8862387946,BottomUp,t/a,Tonnen pro Jahr
2008,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,412651.3003797988,BottomUp,t/a,Tonnen pro Jahr
2009,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,403386.84021992766,BottomUp,t/a,Tonnen pro Jahr
2010,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,424908.836127424,BottomUp,t/a,Tonnen pro Jahr
2011,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,444228.28984153416,BottomUp,t/a,Tonnen pro Jahr
2012,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,451312.58006347984,BottomUp,t/a,Tonnen pro Jahr
2013,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,459705.1439124083,BottomUp,t/a,Tonnen pro Jahr
2014,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,460238.71866176534,BottomUp,t/a,Tonnen pro Jahr
2015,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,465052.1167797361,BottomUp,t/a,Tonnen pro Jahr
2016,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,470153.45420759474,BottomUp,t/a,Tonnen pro Jahr
2017,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,473111.5987372716,BottomUp,t/a,Tonnen pro Jahr
2018,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,470952.87463684287,BottomUp,t/a,Tonnen pro Jahr
2019,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,471607.3339640744,BottomUp,t/a,Tonnen pro Jahr
2020,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,473222.72298070614,BottomUp,t/a,Tonnen pro Jahr
2021,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,420356.28108588577,BottomUp,t/a,Tonnen pro Jahr
2022,Abwasser und Abfall,KVA,1A1A,CO2,CO2eq,374645.1815973408,BottomUp,t/a,Tonnen pro Jahr
1990,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,22816.30119513453,EMIS,t/a,Tonnen pro Jahr
1991,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,23094.223619224464,EMIS,t/a,Tonnen pro Jahr
1992,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,23613.004333927653,EMIS,t/a,Tonnen pro Jahr
1993,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,23612.74529299264,EMIS,t/a,Tonnen pro Jahr
1994,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,23961.77371903711,EMIS,t/a,Tonnen pro Jahr
1995,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,23926.103882549392,EMIS,t/a,Tonnen pro Jahr
1996,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,23258.40345007793,EMIS,t/a,Tonnen pro Jahr
1997,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,22740.456497535648,EMIS,t/a,Tonnen pro Jahr
1998,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,22538.528867727855,EMIS,t/a,Tonnen pro Jahr
1999,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,21942.54250736995,EMIS,t/a,Tonnen pro Jahr
2000,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,22308.107036455076,EMIS,t/a,Tonnen pro Jahr
2001,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,22172.524219631792,EMIS,t/a,Tonnen pro Jahr
2002,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,20236.424941380294,EMIS,t/a,Tonnen pro Jahr
2003,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,20467.31006398719,EMIS,t/a,Tonnen pro Jahr
2004,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,22976.01739646322,EMIS,t/a,Tonnen pro Jahr
2005,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,23058.230872383625,EMIS,t/a,Tonnen pro Jahr
2006,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,22010.169387430033,EMIS,t/a,Tonnen pro Jahr
2007,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,21635.922333157683,EMIS,t/a,Tonnen pro Jahr
2008,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,19740.017744859528,EMIS,t/a,Tonnen pro Jahr
2009,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,17655.925799889017,EMIS,t/a,Tonnen pro Jahr
2010,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,19997.905553688954,EMIS,t/a,Tonnen pro Jahr
2011,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,20576.625543894257,EMIS,t/a,Tonnen pro Jahr
2012,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,20911.396649306338,EMIS,t/a,Tonnen pro Jahr
2013,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,18447.492246118123,EMIS,t/a,Tonnen pro Jahr
2014,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,18573.68376512278,EMIS,t/a,Tonnen pro Jahr
2015,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,17557.481040365834,EMIS,t/a,Tonnen pro Jahr
2016,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,17631.892169935487,EMIS,t/a,Tonnen pro Jahr
2017,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,17488.97019003777,EMIS,t/a,Tonnen pro Jahr
2018,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,18161.72391966872,EMIS,t/a,Tonnen pro Jahr
2019,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,17210.777312064663,EMIS,t/a,Tonnen pro Jahr
2020,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,15945.67403586509,EMIS,t/a,Tonnen pro Jahr
2021,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,16401.593417903263,EMIS,t/a,Tonnen pro Jahr
2022,Industrie,Industrielle Prozesse nichtenergetisch,2,CO2,CO2eq,15515.199636066985,EMIS,t/a,Tonnen pro Jahr
1990,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,440.114885708976,EMIS,t/a,Tonnen pro Jahr
1991,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,577.2935513845011,EMIS,t/a,Tonnen pro Jahr
1992,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,512.5147370377254,EMIS,t/a,Tonnen pro Jahr
1993,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,626.8302917673294,EMIS,t/a,Tonnen pro Jahr
1994,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,630.6408102583163,EMIS,t/a,Tonnen pro Jahr
1995,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,738.007884519606,EMIS,t/a,Tonnen pro Jahr
1996,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,685.1044956893278,EMIS,t/a,Tonnen pro Jahr
1997,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,634.718220151427,EMIS,t/a,Tonnen pro Jahr
1998,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,676.8111961874505,EMIS,t/a,Tonnen pro Jahr
1999,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,428.785488716151,EMIS,t/a,Tonnen pro Jahr
2000,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,598.9321453259117,EMIS,t/a,Tonnen pro Jahr
2001,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,554.6225585887117,EMIS,t/a,Tonnen pro Jahr
2002,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,570.8926050532923,EMIS,t/a,Tonnen pro Jahr
2003,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,591.3283973189759,EMIS,t/a,Tonnen pro Jahr
2004,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,664.1119322397053,EMIS,t/a,Tonnen pro Jahr
2005,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,673.779722026981,EMIS,t/a,Tonnen pro Jahr
2006,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,606.9584088754413,EMIS,t/a,Tonnen pro Jahr
2007,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,656.3255125193884,EMIS,t/a,Tonnen pro Jahr
2008,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,601.346207284877,EMIS,t/a,Tonnen pro Jahr
2009,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,405.2274858739114,EMIS,t/a,Tonnen pro Jahr
2010,Industrie,Industrielle Prozesse nichtenergetisch,2,CH4,CO2eq,683.7341103138522,EMIS,t/a,Tonnen pro Jahr
